"Name","Description","Calorie","Dayofweek","Meal"
"Burrito Bowl","@CASCABEL : Protein choice of Pork Chorizo (4oz), Scrambled Eggs (4oz) or Refried Beans. Fiesta Veggies (4oz), Breakfast Potatoes (4oz) and toppings.",400,0,0
"Breakfast Plate","@RUFUS GRILL : Protein Choice of Chicken Apple Sausage (1), Scrambled Eggs (4oz), Kale & Quinoa Scramble (4 oz) or Special Scramble, Breakfast Veggies and Hash Brown.",520,0,0
"Pastry & Bars","Choice of Pastries & Bars",120,0,0
"Pastry (Gluten Free)","Gluten Free Pastries",130,0,0
"Pastry (Vegan)","Vegan Pastries",130,0,0
"Cereal","Choice of Fruit Loops, Mini Wheats or Granola",330,0,0
"Cereal (Gluten Free)","Gluten free Cereals",300,0,0
"Condiments","Choice of  Peanut Butter, Fruit Jelly, Grape Jelly, Butter",35,0,0
"Sugar","Choice of cane sugar, Equal, and Sweet Plus sweetners",30,0,0
"Cream Cheese","Cream Cheese",70,0,0
"Drinks","Choice of Hot Chocolate, Coffee, Decaf Coffee",0,0,0
"Tea","Choice of Teas",0,0,0
"Milk","Choice of Milk, Chocolate Milk, and 2%",120,0,0
"Milk Alternative","Choice of Soy Milk, Soy Chocolate Milk",80,0,0
"Creamers","Choice of Original, Hazelnut, and French Vanilla",10,0,0
"Baked Potato Bar","@CIAO : Baked Potato with Sauce Choice of Chili Sauce (4 oz)or Vegan Chili (2oz). Comes with toppings.",650,0,1
"Mindful Meal","@CASCABEL : Protein choice of Achiote Roasted Chicken Thigh (Halal)(1pc), or Achiote Roasted Quinoa & Zucchini (4oz) with toppings and sides of Red Pepper Brown Rice (4oz) and Pinto Beans (4oz).",910,0,1
"BBQ Plate","@RUFUS GRILL : Protein choice of B.B.Q. Beef (4oz) or Vegan B.B.Q Meat (4oz), with sides of Celery, Carrot Sticks (4oz), Straight Cut Fries (4oz).",540,0,1
"Sweet & Sour Meatball Plate","@LAKE WOK : Protein choice of Sweet & Sour Meatballs (Halal) (6oz) or Vegan Sweet & Sour Meatballs (6oz), with sides of Sauteed Cabbage & Garlic (4oz) and Steamed Rice (4oz).",680,0,1
"Mac & Cheese Bar","@CIAO : Protein choice of Bacon Bits (4oz)  or Sauteed Mushrooms, Mac & Cheese, Roasted Broccoli and Sourdough Roll.",920,0,2
"Burrito","@CASCABEL: Protein choice of Beef Carne Asada (6oz) or Vegan Beef Asada (4oz), Corn Tortilla, Served with  Spanish Rice (4oz), Roasted Chipotle Veggies (4oz) and toppings.",750,0,2
"Mindful Meal","@RUFUS : Protein choice of (H) Herb & Lemon Marinated Chicken or Rosemary Thyme Seitan, with sides of Brown Rice Pilaf (4oz) and Steamed Veggies (4oz).",500,0,2
"Pastry & Bars","Choice of Pastries & Bars",120,0,1
"Pastry (Gluten Free)","Gluten Free Pastries",130,0,1
"Pastry (Vegan)","Vegan Pastries",130,0,1
"Cereal","Choice of Fruit Loops, Mini Wheats or Granola",330,0,1
"Cereal (Gluten Free)","Gluten free Cereals",300,0,1
"Condiments","Choice of  Peanut Butter, Fruit Jelly, Grape Jelly, Butter",35,0,1
"Sugar","Choice of cane sugar, Equal, and Sweet Plus sweetners",30,0,1
"Cream Cheese","Cream Cheese",70,0,1
"Drinks","Choice of Hot Chocolate, Coffee, Decaf Coffee",0,0,1
"Tea","Choice of Teas",0,0,1
"Milk","Choice of Milk, Chocolate Milk, and 2%",120,0,1
"Milk Alternative","Choice of Soy Milk, Soy Chocolate Milk",80,0,1
"Creamers","Choice of Original, Hazelnut, and French Vanilla",10,0,1
"Fruit","Apples, Bananas, Oranges and Seasonal Fruits",60,0,0
"Toppings","Raisins, Cranberries, Pumpkin Seeds, Chocolate Chips, Granola,  Brown Sugar",45,0,0
"Yogurt","Strawberry Yogurt ,  Vanilla Yogurt , Vegan Yogurt",80,0,0
"Oatmeals","Oatmeals, Cream of Wheat (on Weds)",320,0,0
"Toppings","Hummus, Garlic Croutons, Bacon Bits, Chicken, Hard Boiled Egg",25,0,2
"Vegetables","Broccoli, Carrots, Tomatoes, Cucumbers",10,0,2
"Greens","Romaine, Spinach, Iceberg Mix, Sherd Kale",25,0,2
"Dressings","Choice of Caesar, Thousand Island, Ranch or Honey Mustard",230,0,2
"Burrito Bowl","@ CASCABEL : Protein choice of Bacon Bits (4oz), Scrambled Eggs (4oz) or Refried Beans. Fiesta Veggies (4oz), Breakfast Potatoes (4oz) and toppings.",400,1,0
"Breakfast Plate","@RUFUS GRILL : Protein Choice of Pork Patty (2), Scrambled Eggs (4oz), Toasted Faro Scramble (4 oz) or Special Scramble, Breakfast Veggies and Hash Brown.",750,1,0
"Pastry & Bars","Choice of Pastries & Bars",120,1,0
"Pastry (Gluten Free)","Gluten Free Pastries",130,1,0
"Pastry (Vegan)","Vegan Pastries",130,1,0
"Cereal","Choice of Fruit Loops, Mini Wheats or Granola",330,1,0
"Cereal (Gluten Free)","Gluten free Cereals",300,1,0
"Condiments","Choice of  Peanut Butter, Fruit Jelly, Grape Jelly, Butter",35,1,0
"Sugar","Choice of cane sugar, Equal, and Sweet Plus sweetners",30,1,0
"Cream Cheese","Cream Cheese",70,1,0
"Drinks","Choice of Hot Chocolate, Coffee, Decaf Coffee",0,1,0
"Tea","Choice of Teas",0,1,0
"Milk","Choice of Milk, Chocolate Milk, and 2%",120,1,0
"Milk Alternative","Choice of Soy Milk, Soy Chocolate Milk",80,1,0
"Creamers","Choice of Original, Hazelnut, and French Vanilla",10,1,0
"Mindful Meals","@CIAO : Protein choice of Spicy Sauteed Shrimp (Halal) (4oz) or Spicy Sauteed Chickpeas (4oz), with sides of Steamed Vegetables (4oz) and Brown Rice Pilaf (4oz).",330,1,1
"Tamale Plate","@CASCABEL : Protein choice of Chicken Tamale (1pc) or Tamale Cheese & Green Chile (2pc). Comes  with toppings and sides of Spanish Rice (4oz) and Pinto Beans (4oz).",970,1,1
"Corn Dogs Plate","@RUFUS GRILL : Protein choice of Corn Dogs (2pc) or Vegan Corn Dogs (4oz), with sides of Steamed Peas & Carrots (4oz), Straight Cut Fries (4oz).",1000,1,1
